mean_infecteds,sum_persist,mean_percent_infected,omega,immunity_duration,model,patches
2.699000000000001,35,2.0321303075392367,0.02,50,meta,3
1.4610000000000012,22.4,1.0437893423034934,0.01666666666666666,60,meta,3
0.7780000000000005,11.4,0.5187651008280181,0.01428571428571428,70,meta,3
0.3180000000000003,5.3,0.19415980410225567,0.0125,80,meta,3
0.11900000000000018,2,0.07495627349520965,0.01111111111111111,90,meta,3
0.06399999999999995,1.2,0.03930723774829089,0.01,100,meta,3
0.03699999999999998,0.5,0.01904106003206794,0.00909090909090909,110,meta,3
0.00300000000000002,0.1,0.00225563909774434,0.00833333333333333,120,meta,3
0.00399999999999999,0.1,0.0019900497512438,0.00769230769230769,130,meta,3
0,0,0,0.00666666666666666,150,meta,3
0,0,0,0.00555555555555555,180,meta,3
0,0,0,0.00454545454545454,220,meta,3
0,0,0,0.0037037037037037,270,meta,3
0,0,0,0.00273972602739726,365,meta,3
67.015,77.9,14.22391165916501,0.07142857142857142,14,meta,14
48.501999999999995,78.60000000000001,9.680270700562712,0.05,20,meta,14
37.825,78.9,7.314141798880081,0.03333333333333333,30,meta,14
30.683000000000007,78.9,5.819587612440914,0.025,40,meta,14
26.395999999999997,79.10000000000001,4.958535562029187,0.02,50,meta,14
22.77200000000001,78.9,4.22322298299313,0.01666666666666666,60,meta,14
20.097,79.10000000000001,3.70771961218631,0.01428571428571428,70,meta,14
18.098,78.4,3.3063579738044995,0.0125,80,meta,14
15.878000000000004,77.10000000000001,2.883190600206999,0.01111111111111111,90,meta,14
14.012,74.7,2.534002853151982,0.01,100,meta,14
12.320999999999998,72,2.2212795682492654,0.00909090909090909,110,meta,14
10.302000000000003,65.7,1.840446260766172,0.00833333333333333,120,meta,14
8.254,57.49999999999999,1.462359943961307,0.00769230769230769,130,meta,14
6.023999999999999,44.1,1.0551431043709885,0.00666666666666666,150,meta,14
2.2649999999999997,18.5,0.3791638308557547,0.00555555555555555,180,meta,14
0.49600000000000094,5,0.08314866016594431,0.00454545454545454,220,meta,14
0.1539999999999999,1.5,0.02459934611136957,0.0037037037037037,270,meta,14
0,0,0,0.00273972602739726,365,meta,14
17.193,67.10000000000001,18.67631376638818,1,1,single,3
15.392999999999994,67.30000000000001,16.017294428815735,0.3333333333333333,3,single,3
12.562999999999999,67.5,12.400520744672805,0.14285714285714285,7,single,3
11.410999999999998,68.4,10.818431823075771,0.1,10,single,3
7.631999999999996,65,6.8519968555045025,0.05,20,single,3
5.125,54.6,4.288242301090087,0.03333333333333333,30,single,3
3.071000000000001,38.5,2.3898223258316507,0.025,40,single,3
1.5899999999999979,22,1.1519145586875381,0.02,50,single,3
0.6750000000000008,9.9,0.46607834908192375,0.016666666666666666,60,single,3
0.22699999999999976,4,0.14701017029506458,0.014285714285714285,70,single,3
0.1279999999999999,2.1,0.08337454558484533,0.0125,80,single,3
0.008999999999999949,0.3,0.006707825683522749,0.01,100,single,3
0,0,0,0.006666666666666667,150,single,3
0,0,0,0.005555555555555556,180,single,3
0,0,0,0.0027397260273972603,365,single,3
40.94899999999999,68.5,19.32833409108397,1,1,single,7
37.034000000000006,69.6,16.6704274361146,0.3333333333333333,3,single,7
30.340999999999994,68.8,12.830961176963623,0.14285714285714285,7,single,7
26.577,68.60000000000001,10.968814849726593,0.1,10,single,7
18.677000000000003,68.60000000000001,7.307054660991599,0.05,20,single,7
14.652999999999999,68.60000000000001,5.5539592027957205,0.03333333333333333,30,single,7
11.819,68.60000000000001,4.397984049793361,0.025,40,single,7
9.58,66.8,3.5112680052368432,0.02,50,single,7
7.754,61.7,2.8134736724101015,0.016666666666666666,60,single,7
6.199999999999999,53,2.216020408533781,0.014285714285714285,70,single,7
4.142999999999999,39.900000000000006,1.4454209972447563,0.0125,80,single,7
2.6930000000000005,28.599999999999998,0.9291043323720345,0.011111111111111112,90,single,7
1.491999999999999,17.5,0.5081519221647967,0.01,100,single,7
1.1080000000000005,12.9,0.3736095796425732,0.00909090909090909,110,single,7
0.547999999999999,6.9,0.17956575241494432,0.008333333333333333,120,single,7
0.32899999999999974,4.7,0.10580546191866291,0.007692307692307693,130,single,7
0.12399999999999986,1.7000000000000002,0.039967711765209996,0.006666666666666667,150,single,7
0.015000000000000121,0.3,0.004430894289579066,0.005555555555555556,180,single,7
0,0,0,0.0027397260273972603,365,single,7
79.58200000000001,66.10000000000001,18.591643335535316,1,1,single,14
71.91199999999998,66.5,16.117547151403457,0.3333333333333333,3,single,14
59.39500000000001,67.5,12.563573961052782,0.14285714285714285,7,single,14
52.99899999999999,68.30000000000001,10.894391457015633,0.1,10,single,14
37.01799999999998,67.4,7.208472268158012,0.05,20,single,14
28.58599999999999,67.5,5.428584378496624,0.03333333333333333,30,single,14
23.909999999999997,67.80000000000001,4.465064224153548,0.025,40,single,14
19.688000000000006,67.7,3.630709221718388,0.02,50,single,14
17.876,67.7,3.2726163184591592,0.016666666666666666,60,single,14
15.025999999999998,67.5,2.7334042997967396,0.014285714285714285,70,single,14
13.426,66.7,2.4312883242777636,0.0125,80,single,14
11.669999999999998,64.8,2.107097090843103,0.011111111111111112,90,single,14
9.734,59.9,1.7574218864949394,0.01,100,single,14
8.328999999999995,53.6,1.4923083010644445,0.00909090909090909,110,single,14
6.4179999999999975,46.7,1.1471120177737852,0.008333333333333333,120,single,14
4.99,39.2,0.8875800714846792,0.007692307692307693,130,single,14
2.7979999999999987,23.599999999999998,0.49713789695328736,0.006666666666666667,150,single,14
0.868,8.7,0.1533740890948779,0.005555555555555556,180,single,14
0.19899999999999987,2.6,0.03514514772362992,0.004545454545454545,220,single,14
0.02100000000000007,0.2,0.0035853330501875733,0.003703703703703704,270,single,14
0,0,0,0.0027397260273972603,365,single,14
